Metodo,Parametro,Tipo,Tiempo1,Tiempo2,Tiempo_Match,Keypoints1,Keypoints2,Matches
ORB,300,NN,0.7504441738128662,0.01821589469909668,0.018872737884521484,300,300,135
ORB,300,NNDR,0.019923686981201172,0.022382020950317383,0.0019884109497070312,300,300,77
ORB,500,NN,0.017008066177368164,0.016994714736938477,0.004876852035522461,500,500,237
ORB,500,NNDR,0.012998580932617188,0.01399993896484375,0.0020008087158203125,500,500,144
ORB,1000,NN,0.018185138702392578,0.0170133113861084,0.024581432342529297,1000,1000,429
ORB,1000,NNDR,0.01811385154724121,0.01577019691467285,0.008046388626098633,1000,1000,277
ORB,2000,NN,0.020827293395996094,0.019826412200927734,0.05876755714416504,2000,2000,868
ORB,2000,NNDR,0.030832529067993164,0.02815532684326172,0.029586076736450195,2000,2000,491
ORB,3000,NN,0.024778366088867188,0.02914285659790039,0.12738490104675293,3000,3000,1241
ORB,3000,NNDR,0.029022693634033203,0.020003557205200195,0.06485915184020996,3000,3000,674
ORB,10000,NN,0.044339656829833984,0.03719472885131836,1.143683671951294,8486,8537,3207
ORB,10000,NNDR,0.04373931884765625,0.03587508201599121,0.515838623046875,8486,8537,1527
AKAZE,-,NN,0.08115077018737793,0.07132172584533691,0.04632854461669922,1517,1755,810
AKAZE,-,NNDR,0.0709068775177002,0.06780672073364258,0.02198314666748047,1517,1755,581
SIFT,300,NN,0.07631945610046387,0.08043026924133301,0.002000570297241211,301,300,132
SIFT,300,NNDR,0.08466625213623047,0.09148859977722168,0.0020003318786621094,301,300,97
SIFT,500,NN,0.11523151397705078,0.12114906311035156,0.006287336349487305,501,501,213
SIFT,500,NNDR,0.09665274620056152,0.08208513259887695,0.0029990673065185547,501,501,136
SIFT,1000,NN,0.07601022720336914,0.09842395782470703,0.022774934768676758,1000,1000,397
SIFT,1000,NNDR,0.0889899730682373,0.10445618629455566,0.012633562088012695,1000,1000,250
SIFT,2000,NN,0.10648870468139648,0.11671781539916992,0.09305572509765625,1941,2000,719
SIFT,2000,NNDR,0.10780811309814453,0.10658097267150879,0.04758882522583008,1941,2000,419
SIFT,3000,NN,0.09739065170288086,0.09521126747131348,0.09329605102539062,1941,2206,765
SIFT,3000,NNDR,0.09926247596740723,0.10109972953796387,0.04463005065917969,1941,2206,434
SIFT,10000,NN,0.08824491500854492,0.13074946403503418,0.11941099166870117,1941,2206,765
SIFT,10000,NNDR,0.12113571166992188,0.11585497856140137,0.04918408393859863,1941,2206,434
